rgb_luminance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,patch_background.started,patch_background.stopped,patch_foreground.started,patch_foreground.stopped,patch_test.started,patch_test.stopped,key_response.keys,key_response.rt,key_response.started,key_response.stopped,text_task.started,text_task.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.1,0,0,0,0,105.03127100004349,None,105.03127100004349,None,105.03127100004349,None,right,2.8930370999732986,105.11679410003126,None,105.03127100004349,None,108.0361151000252,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.55,0,1,1,5,108.24762970011216,None,108.24762970011216,None,108.24762970011216,None,left,5.900791099993512,108.33082860009745,None,108.24762970011216,None,114.26275430002715,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.4,0,2,2,2,114.47564890002832,None,114.47564890002832,None,114.47564890002832,None,left,1.4333730000071228,114.55861220008228,None,114.47564890002832,None,116.00973730010446,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.9,0,3,3,8,116.2240614000475,None,116.2240614000475,None,116.2240614000475,None,right,0.6462531000142917,116.30712210002821,None,116.2240614000475,None,116.97619890002534,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.6,0,4,4,6,117.1903949000407,None,117.1903949000407,None,117.1903949000407,None,right,0.5449595000827685,117.27313780004624,None,117.1903949000407,None,117.84138980007265,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.3,0,5,5,1,118.0564378000563,None,118.0564378000563,None,118.0564378000563,None,left,1.484951699967496,118.13873020000756,None,118.0564378000563,None,119.65436400007457,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.5,0,6,6,4,119.85490680008661,None,119.85490680008661,None,119.85490680008661,None,right,1.0304340000730008,119.93730930006132,None,119.85490680008661,None,121.00553230009973,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.45,0,7,7,3,121.22030060004909,None,121.22030060004909,None,121.22030060004909,None,right,0.5944701000116765,121.3031336000422,None,121.22030060004909,None,121.92099600005895,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.7,0,8,8,7,122.13585570000578,None,122.13585570000578,None,122.13585570000578,None,right,0.7332345000468194,122.21881800005212,None,122.13585570000578,None,122.97022620006464,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.1,1,0,9,0,123.18500210007187,None,123.18500210007187,None,123.18500210007187,None,left,1.0601669999305159,123.26777280005626,None,123.18500210007187,None,124.35021270008292,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.3,1,1,10,1,124.5533564001089,None,124.5533564001089,None,124.5533564001089,None,right,0.6854457999579608,124.63442510005552,None,124.5533564001089,None,125.34934350010008,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.55,1,2,11,5,125.55020880000666,None,125.55020880000666,None,125.55020880000666,None,right,0.6323830999899656,125.63233210006729,None,125.55020880000666,None,126.28668910008855,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.9,1,3,12,8,126.49844390002545,None,126.49844390002545,None,126.49844390002545,None,right,0.5151438000611961,126.58170570002403,None,126.49844390002545,None,127.11792700004298,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.5,1,4,13,4,127.33263080008328,None,127.33263080008328,None,127.33263080008328,None,right,0.43366310000419617,127.41471640008967,None,127.33263080008328,None,127.87230710010044,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.7,1,5,14,7,128.0817260000622,None,128.0817260000622,None,128.0817260000622,None,right,0.48336019995622337,128.16417930007447,None,128.0817260000622,None,128.66534880001564,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
