rgb_luminance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,patch_background.started,patch_background.stopped,patch_foreground.started,patch_foreground.stopped,patch_test.started,patch_test.stopped,key_response.keys,key_response.rt,key_response.started,key_response.stopped,text_task.started,text_task.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.5,0,0,0,4,63.04319460003171,None,63.04319460003171,None,63.04319460003171,None,right,4.9089894000208005,63.137540200026706,None,63.04319460003171,None,68.08833070006222,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.6,0,1,1,6,68.300776100019,None,68.300776100019,None,68.300776100019,None,right,0.752208000048995,68.38248260004912,None,68.300776100019,None,69.16630250005983,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.7,0,2,2,7,69.38439240003936,None,69.38439240003936,None,69.38439240003936,None,right,0.6309642000123858,69.4636042000493,None,69.38439240003936,None,70.13023530005012,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.9,0,3,3,8,70.34579150006175,None,70.34579150006175,None,70.34579150006175,None,right,0.8967920000432059,70.41377460001968,None,70.34579150006175,None,71.34874230006244,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.3,0,4,4,1,71.57201560004614,None,71.57201560004614,None,71.57201560004614,None,right,2.591173099935986,71.64738440001383,None,71.57201560004614,None,74.26526900008321,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.55,0,5,5,5,74.48013030004222,None,74.48013030004222,None,74.48013030004222,None,right,1.486198400030844,74.56027130002622,None,74.48013030004222,None,76.0811128000496,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.45,0,6,6,3,76.29131610004697,None,76.29131610004697,None,76.29131610004697,None,right,3.1124455000972375,76.37440460000653,None,76.29131610004697,None,79.511915900046,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.4,0,7,7,2,79.72343250003178,None,79.72343250003178,None,79.72343250003178,None,right,0.5139224999584258,79.8045548000373,None,79.72343250003178,None,80.34541920002084,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.1,0,8,8,0,80.55542530003004,None,80.55542530003004,None,80.55542530003004,None,left,0.3513818000210449,80.63906540011521,None,80.55542530003004,None,81.00971980008762,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.45,1,0,9,3,81.22089890006464,None,81.22089890006464,None,81.22089890006464,None,right,0.7727871000533924,81.2900048000738,None,81.22089890006464,None,82.08575910003856,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.9,1,1,10,8,82.28866840002593,None,82.28866840002593,None,82.28866840002593,None,right,0.4611732999328524,82.36932210007217,None,82.28866840002593,None,82.87276690010913,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.7,1,2,11,7,83.08694700000342,None,83.08694700000342,None,83.08694700000342,None,right,1.548758800025098,83.15391040011309,None,83.08694700000342,None,84.73825720010791,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.55,1,3,12,5,84.95224010001402,None,84.95224010001402,None,84.95224010001402,None,right,1.6846580000128597,85.03468960011378,None,84.95224010001402,None,86.73756600008346,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.3,1,4,13,1,86.94963640009519,None,86.94963640009519,None,86.94963640009519,None,left,0.8700675000436604,87.03239820001181,None,86.94963640009519,None,87.93699290009681,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.6,1,5,14,6,88.1478771000402,None,88.1478771000402,None,88.1478771000402,None,right,0.5496806000592187,88.23286640003789,None,88.1478771000402,None,88.81632750004064,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.1,1,6,15,0,89.0301026001107,None,89.0301026001107,None,89.0301026001107,None,left,0.7269717999733984,89.11317400005646,None,89.0301026001107,None,89.86929100006819,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.5,1,7,16,4,90.08226400008425,None,90.08226400008425,None,90.08226400008425,None,right,0.5869583999738097,90.16360670002177,None,90.08226400008425,None,90.76828380010556,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.4,1,8,17,2,90.98009990004357,None,90.98009990004357,None,90.98009990004357,None,right,0.4419977000216022,91.06231730000582,None,90.98009990004357,None,91.53597490000539,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.6,2,0,18,6,91.74639820004813,None,91.74639820004813,None,91.74639820004813,None,right,0.715150999953039,91.82743380009197,None,91.74639820004813,None,92.56827830011025,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.1,2,1,19,0,92.78096830006689,None,92.78096830006689,None,92.78096830006689,None,left,0.6907897000201046,92.86133540002629,None,92.78096830006689,None,93.58106830006,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.45,2,2,20,3,93.80959380010609,None,93.80959380010609,None,93.80959380010609,None,right,0.8176980999996886,93.8865977000678,None,93.80959380010609,None,94.74217310000677,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.9,2,3,21,8,94.94328910007607,None,94.94328910007607,None,94.94328910007607,None,right,0.6487834999570623,95.03005410009064,None,94.94328910007607,None,95.6973601001082,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.7,2,4,22,7,95.90876400005072,None,95.90876400005072,None,95.90876400005072,None,right,0.647416100022383,95.99180910002906,None,95.90876400005072,None,96.66148940008134,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.5,2,5,23,4,96.87436680006795,None,96.87436680006795,None,96.87436680006795,None,left,0.49820680008269846,96.97308920009527,None,96.87436680006795,None,97.49460060009733,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.4,2,6,24,2,97.70765280001797,None,97.70765280001797,None,97.70765280001797,None,left,0.5952867000596598,97.78907950001303,None,97.70765280001797,None,98.41371980006807,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.55,2,7,25,5,98.62822390010115,None,98.62822390010115,None,98.62822390010115,None,right,0.6829840999562293,98.70798790000845,None,98.62822390010115,None,99.41000070003793,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.3,2,8,26,1,99.62218190007843,None,99.62218190007843,None,99.62218190007843,None,left,0.9194719000952318,99.68812890001573,None,99.62218190007843,None,100.62591440009419,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.4,3,0,27,2,100.84093800000846,None,100.84093800000846,None,100.84093800000846,None,right,2.451162699959241,100.92409150011372,None,100.84093800000846,None,103.40105390001554,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.45,3,1,28,3,103.60242470004596,None,103.60242470004596,None,103.60242470004596,None,right,0.7694002999924123,103.67716310010292,None,103.60242470004596,None,104.47501020005438,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.1,3,2,29,0,104.68313390004914,None,104.68313390004914,None,104.68313390004914,None,left,0.44641840003896505,104.768155900063,None,104.68313390004914,None,105.23901170003228,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.6,3,3,30,6,105.4590416001156,None,105.4590416001156,None,105.4590416001156,None,right,0.6754662999883294,105.5326839000918,None,105.4590416001156,None,106.2380634000292,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.7,3,4,31,7,106.44872480002232,None,106.44872480002232,None,106.44872480002232,None,right,0.4913943000137806,106.53262200008612,None,106.44872480002232,None,107.05245380010456,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.9,3,5,32,8,107.26657130010426,None,107.26657130010426,None,107.26657130010426,None,right,0.9697253999765962,107.34893680003006,None,107.26657130010426,None,108.35256680008024,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.5,3,6,33,4,108.56464650004636,None,108.56464650004636,None,108.56464650004636,None,right,1.7348420000635087,108.6318907000823,None,108.56464650004636,None,110.39454690006096,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.3,3,7,34,1,110.59606490004808,None,110.59606490004808,None,110.59606490004808,None,right,0.7934440000681207,110.66288310009986,None,110.59606490004808,None,111.48406810010783,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.55,3,8,35,5,111.69436510000378,None,111.69436510000378,None,111.69436510000378,None,right,2.942156699951738,111.76196370006073,None,111.69436510000378,None,114.73130870005116,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
0.9,4,0,36,8,114.94420250004623,None,114.94420250004623,None,114.94420250004623,None,right,0.5900701000355184,115.02634210011456,None,114.94420250004623,None,115.64715180010535,None,e,001,2022_Jan_23_1047,contrast,2021.2.3,60.534996189768655,
