rgb_luminance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,patch_background.started,patch_background.stopped,patch_foreground.started,patch_foreground.stopped,patch_test.started,patch_test.stopped,key_response.keys,key_response.rt,key_response.started,key_response.stopped,text_task.started,text_task.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.9,0,0,0,8,19.723166300042067,None,19.723166300042067,None,19.723166300042067,None,right,8.786388400010765,19.798230000014883,None,19.723166300042067,None,28.613686299999245,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.55,0,1,1,5,28.82432080002036,None,28.82432080002036,None,28.82432080002036,None,right,2.4770131999976,28.907201300025918,None,28.82432080002036,None,31.407651800021995,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.45,0,2,2,3,31.621300900005735,None,31.621300900005735,None,31.621300900005735,None,left,1.199790699989535,31.704578900011256,None,31.621300900005735,None,32.92279189999681,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.7,0,3,3,7,33.136873200011905,None,33.136873200011905,None,33.136873200011905,None,right,0.5469569999841042,33.22022100002505,None,33.136873200011905,None,33.80291630001739,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.3,0,4,4,1,34.00300780002726,None,34.00300780002726,None,34.00300780002726,None,left,0.8645471999770962,34.08638570003677,None,34.00300780002726,None,34.9852155999979,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.4,0,5,5,2,35.184840100002475,None,35.184840100002475,None,35.184840100002475,None,right,1.42687109997496,35.269604600034654,None,35.184840100002475,None,36.71941880002851,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.6,0,6,6,6,36.933393999992404,None,36.933393999992404,None,36.933393999992404,None,right,0.8793412999948487,37.01694550004322,None,36.933393999992404,None,37.918454300030135,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.1,0,7,7,0,38.13265640003374,None,38.13265640003374,None,38.13265640003374,None,left,0.7030863999971189,38.215919900045265,None,38.13265640003374,None,38.965422000037506,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.5,0,8,8,4,39.165092700044625,None,39.165092700044625,None,39.165092700044625,None,left,1.7029391000396572,39.24818850000156,None,39.165092700044625,None,40.98192970000673,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.7,1,0,9,7,41.197615600016434,None,41.197615600016434,None,41.197615600016434,None,right,0.5354301999905147,41.27967920002993,None,41.197615600016434,None,41.83137249998981,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.55,1,1,10,5,42.04578360001324,None,42.04578360001324,None,42.04578360001324,None,right,0.6145226999651641,42.129092500021216,None,42.04578360001324,None,42.764376800041646,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.6,1,2,11,6,42.97813810000662,None,42.97813810000662,None,42.97813810000662,None,right,0.5788842000183649,43.06136059999699,None,42.97813810000662,None,43.66584969998803,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.3,1,3,12,1,43.87761660001706,None,43.87761660001706,None,43.87761660001706,None,left,1.2303097999538295,43.96063630003482,None,43.87761660001706,None,45.228482500009704,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.45,1,4,13,3,45.44274740002584,None,45.44274740002584,None,45.44274740002584,None,left,2.4653810000163503,45.52619770000456,None,45.44274740002584,None,48.01175250002416,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.5,1,5,14,4,48.224031599995214,None,48.224031599995214,None,48.224031599995214,None,right,1.9262511999695562,48.30673810001463,None,48.224031599995214,None,50.2578847000259,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.9,1,6,15,8,50.47177980002016,None,50.47177980002016,None,50.47177980002016,None,right,0.8129517000052147,50.554790000023786,None,50.47177980002016,None,51.39250170002924,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.1,1,7,16,0,51.60412820003694,None,51.60412820003694,None,51.60412820003694,None,left,0.7356810999917798,51.68720829999074,None,51.60412820003694,None,52.45546890003607,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.4,1,8,17,2,52.66985529998783,None,52.66985529998783,None,52.66985529998783,None,left,1.1441802000044845,52.75286860001506,None,52.66985529998783,None,53.92376949999016,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.3,2,0,18,1,54.142493700026534,None,54.142493700026534,None,54.142493700026534,None,left,1.5498890999588184,54.21857650001766,None,54.142493700026534,None,55.787715499987826,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.7,2,1,19,7,56.00023270002566,None,56.00023270002566,None,56.00023270002566,None,right,0.5479183999705128,56.08348349999869,None,56.00023270002566,None,56.65221840003505,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.5,2,2,20,4,56.86626810004236,None,56.86626810004236,None,56.86626810004236,None,right,2.2272222000174224,56.94922410004074,None,56.86626810004236,None,59.202599600015674,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.55,2,3,21,5,59.414136000035796,None,59.414136000035796,None,59.414136000035796,None,right,1.0376085000461899,59.49731300002895,None,59.414136000035796,None,60.56512590002967,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.6,2,4,22,6,60.77974319999339,None,60.77974319999339,None,60.77974319999339,None,right,0.5204352000146173,60.862643900036346,None,60.77974319999339,None,61.414283099991735,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.45,2,5,23,3,61.62871290004114,None,61.62871290004114,None,61.62871290004114,None,right,1.0321250000270084,61.71177390002413,None,61.62871290004114,None,62.76353150000796,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.9,2,6,24,8,62.97923990001436,None,62.97923990001436,None,62.97923990001436,None,right,0.5151448000106029,63.060742100002244,None,62.97923990001436,None,63.59618480002973,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.4,2,7,25,2,63.81042980001075,None,63.81042980001075,None,63.81042980001075,None,left,0.65978519996861,63.893436899990775,None,63.81042980001075,None,64.59256820002338,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.1,2,8,26,0,64.79383129999042,None,64.79383129999042,None,64.79383129999042,None,left,0.5867890000226907,64.87620170001173,None,64.79383129999042,None,65.49382329999935,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.1,3,0,27,0,65.70856440003263,None,65.70856440003263,None,65.70856440003263,None,left,0.5035704000038095,65.79156240000157,None,65.70856440003263,None,66.32667790004052,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.55,3,1,28,5,66.54103770002257,None,66.54103770002257,None,66.54103770002257,None,right,0.664018900017254,66.6241990000126,None,66.54103770002257,None,67.30973919999087,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.7,3,2,29,7,67.52388150000479,None,67.52388150000479,None,67.52388150000479,None,right,0.9124074000283144,67.60663230001228,None,67.52388150000479,None,68.5579397000256,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.4,3,3,30,2,68.77247000002535,None,68.77247000002535,None,68.77247000002535,None,right,1.0710011000046507,68.85585019999417,None,68.77247000002535,None,69.95666710002115,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.5,3,4,31,4,70.17140079999808,None,70.17140079999808,None,70.17140079999808,None,right,0.6973615000024438,70.25447790004546,None,70.17140079999808,None,70.97269880003296,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.3,3,5,32,1,71.1871070000343,None,71.1871070000343,None,71.1871070000343,None,left,0.720637499995064,71.27035539998906,None,71.1871070000343,None,72.02189560001716,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.6,3,6,33,6,72.2366531000007,None,72.2366531000007,None,72.2366531000007,None,right,0.6806116999941878,72.31913850002456,None,72.2366531000007,None,73.0212937000324,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.9,3,7,34,8,73.23567050002748,None,73.23567050002748,None,73.23567050002748,None,right,0.8009859999874607,73.31819300004281,None,73.23567050002748,None,74.1367026999942,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.45,3,8,35,3,74.35110790003091,None,74.35110790003091,None,74.35110790003091,None,right,6.006451900000684,74.43412230000831,None,74.35110790003091,None,80.46424390003085,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.5,4,0,36,4,80.67912029998843,None,80.67912029998843,None,80.67912029998843,None,right,3.8221522999810986,80.76185290003195,None,80.67912029998843,None,84.61423410003772,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.3,4,1,37,1,84.82533429999603,None,84.82533429999603,None,84.82533429999603,None,left,0.5064494999824092,84.9083687000093,None,84.82533429999603,None,85.44570899999235,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.6,4,2,38,6,85.65806750004413,None,85.65806750004413,None,85.65806750004413,None,right,1.147141300025396,85.74078690004535,None,85.65806750004413,None,86.90874300000723,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.7,4,3,39,7,87.1231043000007,None,87.1231043000007,None,87.1231043000007,None,right,0.6883678000303917,87.2067728000111,None,87.1231043000007,None,87.9254140999983,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.1,4,4,40,0,88.13873770000646,None,88.13873770000646,None,88.13873770000646,None,left,0.7130509000271559,88.2219572000322,None,88.13873770000646,None,88.97303680004552,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.4,4,5,41,2,89.18804560002172,None,89.18804560002172,None,89.18804560002172,None,right,2.7196761000086553,89.27130940003553,None,89.18804560002172,None,92.02102000004379,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.55,4,6,42,5,92.23565240000607,None,92.23565240000607,None,92.23565240000607,None,right,0.8109810000169091,92.3184457999887,None,92.23565240000607,None,93.15372030000435,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.45,4,7,43,3,93.36778860003687,None,93.36778860003687,None,93.36778860003687,None,right,0.8942536000395194,93.45068980002543,None,93.36778860003687,None,94.37275550002232,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.9,4,8,44,8,94.58329030004097,None,94.58329030004097,None,94.58329030004097,None,right,0.7816964000230655,94.66641520004487,None,94.58329030004097,None,95.46832139999606,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.9,5,0,45,8,95.68251539999619,None,95.68251539999619,None,95.68251539999619,None,right,0.5627632000250742,95.76567640004214,None,95.68251539999619,None,96.3509192999918,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.1,5,1,46,0,96.56493510003202,None,96.56493510003202,None,96.56493510003202,None,left,0.7347252999898046,96.64805260003777,None,96.56493510003202,None,97.40125510003418,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.45,5,2,47,3,97.61402420001104,None,97.61402420001104,None,97.61402420001104,None,left,0.6457395000034012,97.69722920004278,None,97.61402420001104,None,98.38192660000641,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.7,5,3,48,7,98.59669780003605,None,98.59669780003605,None,98.59669780003605,None,right,0.5925121000036597,98.6800302999909,None,98.59669780003605,None,99.29780360002769,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.5,5,4,49,4,99.51233070000308,None,99.51233070000308,None,99.51233070000308,None,right,1.70926050003618,99.59596480004257,None,99.51233070000308,None,101.33027149998816,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.6,5,5,50,6,101.54402989998925,None,101.54402989998925,None,101.54402989998925,None,right,0.8135355000267737,101.62707799999043,None,101.54402989998925,None,102.46194020000985,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.55,5,6,51,5,102.67619750002632,None,102.67619750002632,None,102.67619750002632,None,right,0.7516502999933437,102.75933670002269,None,102.67619750002632,None,103.5279339000117,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.3,5,7,52,1,103.74218530004146,None,103.74218530004146,None,103.74218530004146,None,left,0.5671878000139259,103.82537149998825,None,103.74218530004146,None,104.4110354000004,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.4,5,8,53,2,104.62490400002571,None,104.62490400002571,None,104.62490400002571,None,left,1.300407400005497,104.70768049999606,None,104.62490400002571,None,106.02595400001155,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.1,6,0,54,0,106.24015490000602,None,106.24015490000602,None,106.24015490000602,None,left,0.5492337999748997,106.32274430000689,None,106.24015490000602,None,106.89127280004323,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.9,6,1,55,8,107.10551369999303,None,107.10551369999303,None,107.10551369999303,None,right,0.4170390999643132,107.1898363000364,None,107.10551369999303,None,107.62396530003753,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.6,6,2,56,6,107.83815329999197,None,107.83815329999197,None,107.83815329999197,None,right,0.646326600050088,107.92142420000164,None,107.83815329999197,None,108.5896766000078,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.55,6,3,57,5,108.80416330002481,None,108.80416330002481,None,108.80416330002481,None,right,0.4008605000562966,108.88734960003057,None,108.80416330002481,None,109.30570540000917,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.4,6,4,58,2,109.52014790003886,None,109.52014790003886,None,109.52014790003886,None,left,0.6449828000040725,109.60336120001739,None,109.52014790003886,None,110.27192820003256,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.7,6,5,59,7,110.48611719999462,None,110.48611719999462,None,110.48611719999462,None,right,0.7669232999905944,110.56941709999228,None,110.48611719999462,None,111.35433719999855,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.5,6,6,60,4,111.57120310002938,None,111.57120310002938,None,111.57120310002938,None,right,0.7713971000048332,111.65149220003514,None,111.57120310002938,None,112.45283080002991,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.3,6,7,61,1,112.66726170002948,None,112.66726170002948,None,112.66726170002948,None,left,0.5842345000128262,112.75056210003095,None,112.66726170002948,None,113.35261440003524,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.45,6,8,62,3,113.56649749999633,None,113.56649749999633,None,113.56649749999633,None,left,1.8292558999964967,113.64984500000719,None,113.56649749999633,None,115.50067430001218,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.55,7,0,63,5,115.71522860002005,None,115.71522860002005,None,115.71522860002005,None,right,0.7047435000422411,115.79812470002798,None,115.71522860002005,None,116.53279430000111,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.1,7,1,64,0,116.74749620002694,None,116.74749620002694,None,116.74749620002694,None,left,0.5845708000124432,116.83041920000687,None,116.74749620002694,None,117.44912020000629,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.5,7,2,65,4,117.66318460000912,None,117.66318460000912,None,117.66318460000912,None,right,2.036568099982105,117.74638640001649,None,117.66318460000912,None,119.82782579999184,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.3,7,3,66,1,120.0303882000153,None,120.0303882000153,None,120.0303882000153,None,left,0.5194397000013851,120.11146079999162,None,120.0303882000153,None,120.66250100004254,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.7,7,4,67,7,120.87829270004295,None,120.87829270004295,None,120.87829270004295,None,right,0.8070142000215128,120.96038699999917,None,120.87829270004295,None,121.79906849999679,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.9,7,5,68,8,122.00932360003935,None,122.00932360003935,None,122.00932360003935,None,right,0.9059902000008151,122.07818790001329,None,122.00932360003935,None,123.00885800004471,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.45,7,6,69,3,123.2123768000165,None,123.2123768000165,None,123.2123768000165,None,right,0.8112675999873318,123.29172139998991,None,123.2123768000165,None,124.12559190002503,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.4,7,7,70,2,124.32766770001035,None,124.32766770001035,None,124.32766770001035,None,right,0.5287724999943748,124.40762050001649,None,124.32766770001035,None,124.96417280001333,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.6,7,8,71,6,125.17739800002892,None,125.17739800002892,None,125.17739800002892,None,right,0.8455053000361659,125.25855230004527,None,125.17739800002892,None,126.13947980001103,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.4,8,0,72,2,126.33955400000559,None,126.33955400000559,None,126.33955400000559,None,left,0.6876540000084788,126.42316510004457,None,126.33955400000559,None,127.14891570003238,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.6,8,1,73,6,127.36329539999133,None,127.36329539999133,None,127.36329539999133,None,right,1.1190473000169732,127.44877960003214,None,127.36329539999133,None,128.59359930001665,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.9,8,2,74,8,128.80638880003244,None,128.80638880003244,None,128.80638880003244,None,right,0.6866175000322983,128.88826380000683,None,128.80638880003244,None,129.60698480001884,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.1,8,3,75,0,129.8211580000352,None,129.8211580000352,None,129.8211580000352,None,left,0.5337890000082552,129.90602709999075,None,129.8211580000352,None,130.4690887000179,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.45,8,4,76,3,130.6729037000332,None,130.6729037000332,None,130.6729037000332,None,left,4.71119230001932,130.75318980001612,None,130.6729037000332,None,135.48394539998844,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.55,8,5,77,5,135.69775640004082,None,135.69775640004082,None,135.69775640004082,None,right,0.867278499994427,135.78056819998892,None,135.69775640004082,None,136.66630260000238,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.3,8,6,78,1,136.87990970001556,None,136.87990970001556,None,136.87990970001556,None,left,0.6940531000145711,136.9629820000264,None,136.87990970001556,None,137.69096290000016,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.5,8,7,79,4,137.8963337999885,None,137.8963337999885,None,137.8963337999885,None,right,1.2136484000366181,137.97868629998993,None,137.8963337999885,None,139.21336480003083,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
0.7,8,8,80,7,139.4275119000231,None,139.4275119000231,None,139.4275119000231,None,right,0.7682021999498829,139.51079760002904,None,139.4275119000231,None,140.2957617000211,None,t_rgb,001,2022_Jan_22_1902,contrast,2021.2.3,59.967641451637995,
